"E6010100","E6010200","E6010300","E6010400","E6010500","E6010600","E6010700","E6010800","E6010900","E6011000","E6011100","E6011200","E6011300","E6011400","E6011500","E6011600","E6011700","E6011800","E6011900","E6012000","E6012100","E6012200","E6012300","E6012400","E6012500","E6012600","E6012700","E6012800","E6012900","E6013000","E6013100","E6013200","E6013300","E6013400","E6013500","H0001600","H0003200","H0003300","H0003400","H0014700","R0000100","R0000600","R0009600","R0017300","R0173600","R0214700","R0214800","R0215310","R0216701","R0217502","R0304900","R0307100","R0407510","R0481600","R0618200","R0618300","R0618301","R0618901","R0898201","R1145001","R1520201","R1774000","R1890901","R1892220","R2258001","R2445401","R2734200","R2871101","R3074801","R3127300","R3127500","R3146100","R3279401","R3401501","R3403500","R3656901","R3657700","R4007401","R4008200","R4418501","R5103900","R5166901","R5626201","R6479600","R6480400","R7007300","R7704600","T0912400"
-4,-4,728,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5682,5789,1,-4,13,20,11,14,1,3,1,732,14,5,0,0,1,511,78,85,72313,15,16,16,16,175,16,2,16,16,1,16,16,722,1,0,40000,16,3,16,3000,16,3445,16,16,16,52000,16,4000,16,16,8000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,587,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5550,5783,2,1,14,15,11,9,5,3,2,-4,9,5,2,0,2,507,88,92,98798,11,12,13,14,145,15,7,16,16,0,16,16,532,1,1,24000,16,15,16,2057,16,2143,16,16,17,29000,17,5050,18,18,116000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5724,5881,1,1,15,15,11,8,1,3,1,-4,8,4,0,0,1,601,83,69,82260,10,11,12,13,185,14,5,15,16,0,16,16,-4,-4,0,0,16,7,16,1600,16,2750,16,16,16,38000,16,360,16,16,0
-4,-4,-4,-4,-4,-4,-4,849,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5491,5381,3,1,16,20,12,12,5,3,2,2090,12,4,0,0,2,503,63,57,50283,12,12,12,13,135,13,6,13,13,0,13,13,841,1,0,36000,13,9,13,2000,13,1470,13,13,13,25000,13,1311,13,13,71000
-4,-4,-4,-4,-4,-4,69,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5431,5118,3,0,17,22,3,13,1,3,1,2928,13,2,-1,1,1,509,84,88,89669,13,13,13,13,160,13,4,13,13,0,13,13,60,3,0,32000,13,9,13,1833,13,2000,13,13,13,20000,13,2691,13,13,43000
-4,-4,-4,248,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5752,5574,1,0,18,21,3,12,1,3,1,1360,12,1,0,0,3,509,99,98,95977,12,12,12,13,155,13,3,13,13,0,13,13,380,1,0,74283,13,4,13,2295,13,2120,13,13,13,80000,13,3920,13,13,120000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5093,3950,3,1,19,21,5,12,5,3,2,2272,12,2,0,0,5,504,-4,-4,-4,12,12,-5,12,125,12,9,12,12,0,12,12,-4,-4,0,0,12,10,12,0,12,0,12,12,-5,-5,12,0,-5,-5,0
-4,-4,-4,-4,-4,-4,-4,-4,-4,177,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5620,5568,2,1,20,19,12,13,5,3,2,770,13,5,1,0,6,504,54,63,67021,15,15,15,15,120,15,10,15,16,0,16,16,310,1,0,34000,16,10,16,1200,16,2080,16,16,16,46000,16,3960,17,17,64000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,339,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,6129,4635,1,1,21,17,12,11,5,3,2,745,11,5,2,0,2,502,94,94,88416,13,14,15,15,138,16,11,16,16,0,16,16,172,1,0,30000,16,17,16,2145,16,3100,16,16,16,55500,16,3811,16,16,279816
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,887,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5525,2397,2,0,22,16,22,10,5,3,2,595,10,4,1,0,2,504,84,84,89167,12,13,14,15,115,16,13,16,16,0,16,16,881,1,0,15500,16,19,16,1440,16,2584,16,16,16,15000,16,3960,16,16,45300
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,23,20,6,13,1,3,1,2194,13,5,0,0,2,600,94,91,83214,14,14,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18,20761,19,3405,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,618,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,24,18,6,11,1,3,1,1270,11,5,3,0,5,511,66,61,66029,12,12,12,-5,190,12,9,12,12,0,12,12,670,1,0,30000,12,11,-5,-5,12,5382,12,12,12,32000,12,3355,-5,-5,-5
-4,-4,829,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5774,4919,1,1,25,19,6,13,5,3,2,396,13,3,1,0,3,507,60,57,51390,14,14,14,14,120,14,3,14,14,0,14,14,820,1,0,25000,14,3,14,352,14,1080,14,14,14,18000,14,1680,14,14,23000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,26,16,3,10,1,3,1,1026,10,4,1,0,4,507,96,96,97075,12,13,14,14,143,14,7,14,15,0,16,16,-4,-4,0,0,16,7,16,0,16,0,16,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5591,5587,2,1,27,18,3,12,5,3,2,2306,12,4,0,0,5,503,85,97,96674,13,13,13,13,115,13,8,13,15,0,16,16,-4,-4,0,0,16,8,16,0,16,0,16,16,16,165,16,2578,16,16,0
-4,-4,-4,-4,-4,-4,-4,-4,707,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,28,15,3,8,5,3,2,-4,8,4,1,0,1,505,93,93,92784,10,11,11,12,120,12,7,12,12,0,12,12,700,1,0,26000,12,10,12,2090,12,1564,12,12,12,16000,12,4565,13,-5,-5
-4,707,-4,698,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5678,5324,2,1,29,18,7,12,5,3,2,2135,12,4,0,0,1,507,18,13,25905,12,12,12,12,125,12,2,12,12,0,12,12,700,1,0,30000,12,4,12,3901,12,3264,12,12,12,41000,12,4200,12,12,85000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5578,5560,2,1,30,20,7,12,5,3,2,2020,12,4,0,0,2,504,14,9,8528,12,12,-5,12,165,12,4,12,12,0,12,12,-4,-4,0,0,12,4,12,0,12,0,12,12,12,0,12,0,12,12,0
-4,-4,-4,-4,-4,-4,-4,-4,737,449,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5797,3879,2,1,31,15,19,8,4,1,1,-4,8,4,0,0,1,508,-4,-4,-4,11,11,12,12,180,12,4,12,12,0,12,12,442,1,0,15000,12,10,12,2120,12,1920,12,12,-5,-5,12,10750,12,12,40000
